cond_A,cond_B,pref,sample,user
lemas-edit,lemas-tts,17,de_ry-I_yedAh4-00449-00140222-00140614.wav,user_3d7a916a
lemas-edit,lemas-tts,0,fr_58M3QvaxFFM-00010-00007162-00007648.wav,user_3d7a916a
lemas-tts,lemas-edit,50,de_z_lWiX5LYbI-00008-00006956-00007617.wav,user_3d7a916a
lemas-tts,lemas-edit,73,zh_emilia_zh_0008046522.wav,user_3d7a916a
lemas-tts,lemas-edit,8,pt_h_EjrAP1xA8-00039-00027955-00028582.wav,user_3d7a916a
lemas-tts,lemas-edit,50,es_p3JZGFyD1q4-00001-00000450-00001068.wav,user_3d7a916a
lemas-tts,lemas-edit,6,en_YOU1000000173_S0000098.wav,user_3d7a916a
lemas-edit,lemas-tts,45,es_A7Ftr5PrvdY-00120-00052329-00052955.wav,user_3d7a916a
lemas-edit,lemas-tts,9,pt_4jD-2FN5T88-00020-00009956-00010488.wav,user_3d7a916a
lemas-tts,lemas-edit,50,pt_wrSQ5ZZl9pI-00016-00009856-00010404.wav,user_3d7a916a
lemas-edit,lemas-tts,50,fr_Paqqb-OkMmA-00060-00025766-00026389.wav,user_3d7a916a
lemas-tts,lemas-edit,67,en_AUD0000000214_S0001522.wav,user_3d7a916a
lemas-tts,lemas-edit,9,it_6Tz43e7PlX0-00034-00019174-00019660.wav,user_3d7a916a
lemas-tts,lemas-edit,76,en_YOU0000001317_S0000011.wav,user_3d7a916a
lemas-tts,lemas-edit,24,zh_emilia_zh_0008385782.wav,user_3d7a916a
lemas-tts,lemas-edit,50,es_39sUNIQS27U-00053-00032388-00033054.wav,user_3d7a916a
lemas-tts,lemas-edit,44,it_szkmi570-lu-00031-00019642-00020368.wav,user_3d7a916a
lemas-edit,lemas-tts,50,it_3lx6y-fUnyc-00002-00001129-00001732.wav,user_3d7a916a
lemas-tts,lemas-edit,31,zh_emilia_zh_0010428708.wav,user_3d7a916a
lemas-tts,lemas-edit,50,fr_RUTidfuQzBw_0019.wav,user_3d7a916a
